Alérgenos,Cantidad Neta:,Cantidad neta del alimento (Formato texto libre):,Código EAN Producto:,Declaración Nutricional:,Descripción del rango de raciones:,Descripción producto,Descripción:,Dirección Proveedor:,Instrucciones Uso:,Lista Ingredientes:,Marca:,Menciones Obligatorias:,Modo de empleo:,Nombre Alimento:,Nombre Proveedor:,Pais Origen:,Peso Neto Escurrido:,Propiedades Saludables:,Variedad:,child_1_cat,child_2_cat,child_3_cat,child_4_cat,child_5_cat,price,price_norm,product_id,root_cat
[],420 g,,08480000331212,,," ACEITUNA MANZANILLA SIN HUESO ALIÑADA, HACENDADO, TARRO 420 g ESCURRIDO 200 g",Aceitunas Manzanilla verde sin hueso aliñada HACENDADO 420 g,"C/Domingo Martínez 32, 41806 Umbrete, Sevilla.",Excepcionalmente puede contener algún resto de hueso. Variedad: Manzanilla Fina. Categoría Selecta.,"['Aceituna', ' agua', ' pimiento', ' ajo', ' sal', ' vinagre', ' pimentón', ' especias autorizadas', ' potenciador del sabor (glutamato monosódico', ' inosinato sódico', ' gualinato sódico)', ' acidulante (ácido láctico', ' ácido citrico) y antioxidante (ácido ascórbico).']",Escamilla,"Aceituna, agua, pimiento, ajo, sal, vinagre, pimentón, especias autorizadas, potenciador del sabor (glutamato monosódico, inosinato sódico, gualinato sódico), acidulante (ácido láctico, ácido citrico) y antioxidante (ácido ascórbico).",,Aceitunas Manzanilla verde sin hueso aliñada,"Escamilla, S.A.T 2080",,200 g,,,ACEITUNAS,ALIÑADAS Y PARTIDAS,,,,"1,50","1 KILO: 7,50 Euros",33121,APERITIVOS
"['sulfitos', 'sulfitos']",980 g,,08410971604404,"Aceitunas, agua, sal, pimientos rojos (contiene sulfitos), ajos (contiene sulfitos), aceite de oliva, potenciador del sabor (E-621), vinagre de vino, orégano, albahaca, comino, aroma de ajo, aroma de orégano y mineral (acetato de Zinc)",," ACEITUNA PARTIDA VERDE ALIÑADA ESTILO CHUPADEDOS ***NOVEDAD***, HUERTA DE BARROS, TARRO 980 g ESCURRIDO 600 g",Aceitunas Verdes Partidas Aliñadas Estilo Chupadedos HUERTA DE BARROS 980g,"Camino de la Alcoba, s/n 41530 Morón de la Frontera (Sevilla)",Fuente de cinc,"['Aceitunas', ' agua', ' sal', ' pimientos rojos (contiene sulfitos)', ' ajos (contiene sulfitos)', ' aceite de oliva', ' potenciador del sabor (E-621)', ' vinagre de vino', ' orégano', ' albahaca', ' comino', ' aroma de ajo', ' aroma de orégano y mineral (acetato de Zinc)']",HUERTA DE BARROS,,,Aceitunas Verdes Partidas Aliñadas estilo Chupadedos,"Aceitunas Guadalquivir, S. L.",España,600 g,,,ACEITUNAS,ALIÑADAS Y PARTIDAS,,,,"2,70","1 KILO: 4,50 Euros",33168,APERITIVOS
[],940 g,,08480000330284,,," ACEITUNA PARTIDA VERDE CON ESPECIAS ESTILO CASERAS, HACENDADO, TARRO 940 g ESCURRIDO 550 g",Aceitunas verdes partidas con especial Estilo Caseras,"C/Arzobispo Doménech, 7  03804-Alcoy(Alicante)","Aceituna verde aderezada partida, ajo entero con piel, pimiento rojo trozos, sal , vinagre, potenciador del sabor E-621 y E-635, pimentón, especias, acidulante:ácido cítrico, , antioxidante: ácido ascórbico.","['Aceituna verde aderezada partida', ' ajo entero con piel', ' pimiento rojo trozos', ' sal ', ' vinagre', ' potenciador del sabor E-621 y E-635', ' pimentón', ' especias', ' acidulante:ácido cítrico', ' ', ' antioxidante: ácido ascórbico.']",HACENDADO,,,Aceitunas verdes partidas con especias Estilo Caseras,"La Española Alimentaria Alcoyana, S.A.",,550 g,,,ACEITUNAS,ALIÑADAS Y PARTIDAS,,,,"2,35","1 KILO: 4,27 Euros",33028,APERITIVOS
[],400 g,,08480000331298,,," ACEITUNA GORDAL ALIÑADA SIN HUESO, HACENDADO, TARRO 835 g ESCURRIDO 400 g",Aceituna verde Gordal Aliñadas sin hueso,"C/Arzobispo Doménech, 7  03804-Alcoy(Alicante)","Aceituna verde aderezada, Pimiento Rojo trozos, ajos enteros, sal, vinagre, potenciador del sabor E-621, acidulante:ácido cítrico y antioxidante:ácido ascórbico y especias.","['Aceituna verde aderezada', ' Pimiento Rojo trozos', ' ajos enteros', ' sal', ' vinagre', ' potenciador del sabor E-621', ' acidulante:ácido cítrico y antioxidante:ácido ascórbico y especias.']",HACENDADO,,,Aceituna Verde Gordal Aliñada sin hueso,"La Española Alimentaria Alcoyana, S.A.",,400 g,,,ACEITUNAS,GORDALES,,,,"2,40","1 KILO: 6,00 Euros",33129,APERITIVOS
[],700 g,,08480000331717,,8.4 raciones de 50 g de producto escurrido.," ACEITUNA GORDAL CON HUESO, HACENDADO, TARRO 700 g ESCURRIDO 400 g",Aceitunas con Hueso Hacendado 700 g,"Ctra. Utrera-Los Palacios, Km. 3.5, 41710 Utrera, Sevilla.",Producto pasteurizado.,"['Aceitunas Gordal', ' agua', ' sal', ' acidulantes: ácido cítrico y ácido láctico', ' antioxidante: ácido ascórbico. Categoría Selecta.']",Hacendado,"Aceitunas Gordal, agua, sal, acidulantes: ácido cítrico y ácido láctico, antioxidante: ácido ascórbico. Categoría Selecta.",,Aceitunas verdes con hueso,"Manzanilla Olive, SCA",,400 g,,Gordal,ACEITUNAS,GORDALES,,,,"2,10","1 KILO: 5,25 Euros",33171,APERITIVOS
['conservante: metabisulfito sódico'],670 g,,08480000330413,Variantes ácidos. Extra. Producto pasteurizado.,," ACEITUNA GORDAL GUINDILLA, HACENDADO, TARRO 670 g ESCURRIDO 360 g",Aceitunas gordales con guindilla en vinagre Hacendado tarro 670 g,"P.I. El Sequero, 90, 26150 Arrúbal - La Rioja",Sin gluten,"['Hortalizas en proporción variable (Aceituna gordal', ' guindilla) vinagre de vino', ' sal', ' potenciador del sabor: glutamato monosódico', ' antioxidante: ácido ascórbico y conservante: metabisulfito sódico.']",Hacendado,"Hortalizas en proporción variable (Aceituna gordal, guindilla) vinagre de vino, sal, potenciador del sabor: glutamato monosódico, antioxidante: ácido ascórbico y conservante: metabisulfito sódico.",Consumir dentro de los 15 días siguientes a su apertura. Una vez abierto conservar cerrado en el frigorífico con el máximo de líquido posible.,Aceitunas gordales con guindilla en vinagre,"Conservas Franco - Riojanas, S.A.U.",,360 g,,,ACEITUNAS,GORDALES,,,,"2,55","1 KILO: 7,08 Euros",33041,APERITIVOS
[],940 g,,08480000331205,,," ACEITUNA MANZANILLA CON HUESO SABOR ANCHOA (CALIBRE GRANDE), HACENDADO, TARRO 940 g ESCURRIDO 530 g",Aceituna verde manzanilla sabor anchoa con hueso,"C/Arzobispo Doménech, 7  03804-Alcoy(Alicante)","Consumir dentro de los 7 días después de la apertura. Una vez abierto , conservar cerrado en el frigorífico con el máximo de líquido posible.","['Aceitunas verdes aderezadas', ' sal', ' potenciador del sabor E-621 y E-635', ' cloruro de calcio ', ' acidulante: ácido cítrico', ' antioxidante: ácido ascórbico y aromas.']",HACENDADO,,,Aceituna verde manzanilla sabor anchoa con  hueso,"La Española Alimentaria Alcoyana, S.A.",,530 g,,,ACEITUNAS,MANZANILLA,,,,"2,50","1 KILO: 4,72 Euros",33120,APERITIVOS
,940 g,,08480000331205,,10.6 raciones de 50 g de producto escurrido.," ACEITUNA MANZANILLA CON HUESO SABOR ANCHOA (CALIBRE GRANDE), HACENDADO, TARRO 940 g ESCURRIDO 530 g",Aceitunas Verdes con Hueso sabor Anchoa Hacendado 940 g,"Ctra. Utrera-Los Palacios, Km. 3.5, 41710 Utrera, Sevilla.",,"Aceituna manzanilla, agua, sal, acidulantes: ácido cítrico y ácido láctico; antioxidante: ácido ascórbico; potenciador del sabor: glutamato monosódico. Categoría Selecta.",Hacendado,Producto pasteurizado.,,,"Manzanilla Olive, SCA",,530 g,,Manzanilla,ACEITUNAS,MANZANILLA,,,,"2,50","1 KILO: 4,72 Euros",33120,APERITIVOS
[],835 g,,08480000800152,,," ACEITUNA MANZANILLA CON HUESO SABOR ANCHOA, HACENDADO, TARRO 835 g ESCURRIDO 500 g",Aceituna verde manzanilla Sabor Anchoa con hueso,"C/Arzobispo Doménech, 7  03804-Alcoy(Alicante)","Consumir dentro de los 7 días después de la apertura. Una vez abierto , conservar cerrado en el frigorífico con el máximo de líquido posible.","['Aceitunas aderezadas', ' sal', ' potenciador del sabor:E-621 y E-635', ' aromas', ' acidulante: ácido cítrico', ' antioxidante:ácido ascórbico.']",HACENDADO,,,Aceituna verde manzanilla Sabor Anchoa con hueso,"La Española Alimentaria Alcoyana, S.A.",,500 g,,,ACEITUNAS,MANZANILLA,,,,"1,66","1 KILO: 3,32 Euros",80015,APERITIVOS
,835 g,,08480000800152,,," ACEITUNA MANZANILLA CON HUESO SABOR ANCHOA, HACENDADO, TARRO 835 g ESCURRIDO 500 g",Aceitunas con Hueso sabor anchoa 835 g,"Ctra. Utrera-Los Palacios, Km. 3.5, 41710 Utrera, Sevilla.",,"Aceituna manzanilla, agua, sal, acidulantes: ácido cítrico y ácido láctico; antioxidante: ácido ascórbico; potenciador del sabor: glutamato monosódico. Categoría Selecta.",Hacendado,Producto pasteurizado. Contiene 10 raciones de 50 g de producto escurrido.,,,"Manzanilla Olive, SCA",,500 g,,,ACEITUNAS,MANZANILLA,,,,"1,66","1 KILO: 3,32 Euros",80015,APERITIVOS
