Alérgenos,Cantidad Neta:,Cantidad neta del alimento (Formato texto libre):,Código EAN Producto:,Declaración Alérgeno:,Declaración Nutricional:,Descripción de la variante de producción:,Descripción del rango de raciones:,Descripción producto,Descripción:,Dirección Proveedor:,Fecha efectiva de la variante de producción:,Instrucciones Uso:,Lista Ingredientes:,Marca:,Menciones Obligatorias:,Modo de empleo:,Nombre Alimento:,Nombre Proveedor:,Número Raciones:,Pais Origen:,Peso Neto:,Porcentaje Alcohol:,Variedad:,child_1_cat,child_2_cat,child_3_cat,child_4_cat,child_5_cat,price,product_id,root_cat
"['frutos secos', 'sésamo']",250 ML,,08004275080653,,,,," ACEITE DE AGUACATE, ETHNOS, BOTELLA 250 cc",Aceite de aguacate ETHNNOS botella 250 ml,"Avda. Eduardo Dato, 69. 5ª planta.  47005 Sevilla (España)",,"Aceite de aguacate. Puede contener trazas de frutos secos, sésamo.","['Aceite de aguacate. Puede contener trazas de frutos secos', ' sésamo.']",ETHNOS,,,Aceite de aguacate,Aceites Abasa SA,,,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,"1 LITRO: 20,00 Euros",4721,ALIMENTACION
[],418 g,,08436542193474,,,,," ACEITE DE COCO, NAT SANNO, BOTE 450 cc",Nat Sanno Aceite de Coco Virgen Extra 450ml/418 g,"Avda. Cabecicos Blancos, Parcela 18 2.B. Parque empresarial Cabecicos Blancos 30892 - Librilla, Murcia (Spain)",,Aceite de coco (100%),['Aceite de coco (100%)'],Nat Sanno,,,Nat Sanno Aceite de Coco Virgen Extra 450ml/418 g,Laboratorios Almond SL,,,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,"1 LITRO: 10,00 Euros",4193,ALIMENTACION
[],5 LT,,08480000040411,,,,," ACEITE GIRASOL TAPON AMARILLO ***TAMAÑO AHORRO***, HACENDADO, GARRAFA 5 l",Aceite de Girasol Hacendado 5L,"Ctra. Rinconada - Brenes, km 11,700, 41310 Brenes (Sevilla). www.sovenagroup.com",,Conservar al abrigo del calor y de la luz,['Ingredientes: Aceite refinado de girasol'],Hacendado,,Cocinar y sazonar,Aceite refinado de girasol,SOVENA ESPAÑA S.A.U.,,,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,"1 LITRO: 0,96 Euros",4041,ALIMENTACION
[],5 LT,,08480000040411,,,,," ACEITE GIRASOL TAPON AMARILLO ***TAMAÑO AHORRO***, HACENDADO, GARRAFA 5 l",Aceite Refinado de Girasol Hacendado 5 l,"Casal da Amendoeira, 2354-908 Riachos, Portugal.",,"Conservar en un lugar fresco, seco y protegido de la luz.",['Ingredientes: Aceite refinado de girasol'],Hacendado,,,,"Riazor-Aeites e óleos vegetais, S.A.",,,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,"1 LITRO: 0,96 Euros",4041,ALIMENTACION
,5 LT,,08480000040411,,,,," ACEITE GIRASOL TAPON AMARILLO ***TAMAÑO AHORRO***, HACENDADO, GARRAFA 5 l",Aceite Refinado de Girasol Hacendado 5 l,"29 Quai Aulagnier, 92665 Asnières-sur-Seine, Cedex,  Francia.",,,Aceite refinado de girasol. Acidez 0.2 máxima.,Hacendado,,,,Lesieur SA,,,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,"1 LITRO: 0,96 Euros",4041,ALIMENTACION
[],1 LT,,08480000040404,,,,," ACEITE GIRASOL TAPON AMARILLO, HACENDADO, BOTELLA 1 l",HACENDADO ACEITE GIRASOL 1L,"Avda. Josep Trepat, s/n 25300 TARREGA (LLEIDA)",,CONSERVAR AL ABRIGO DEL CALOR Y DE LA LUZ,['Aceite Refinado de Girasol'],HACENDADO,Aceite refinado de girasol,,ACEITE REFINADO DE GIRASOL,"BAIEO, SAU",,España,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,unknown,4040,ALIMENTACION
[],1 LT,,08480000040404,,,,," ACEITE GIRASOL TAPON AMARILLO, HACENDADO, BOTELLA 1 l",Aceite de Girasol Hacendado 1L,"Ctra. Rinconada - Brenes, km 11,700, 41310 Brenes (Sevilla). www.sovenagroup.com",,Conservar al abrigo del calor y de la luz,['Aceite Refinado de Girasol'],Hacendado,,Cocinar y sazonar,,SOVENA ESPAÑA S.A.U.,,,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,unknown,4040,ALIMENTACION
[],1 LT,,08480000040404,,,,," ACEITE GIRASOL TAPON AMARILLO, HACENDADO, BOTELLA 1 l",Aceite Refinado de Girasol Hacendado 1 l,"Casal da Amendoeira, 2354-908 Riachos, Portugal.",,"Conservar en un lugar fresco, seco y protegido de la luz.",['Aceite Refinado de Girasol'],Hacendado,,,,"Riazor-Aeites e óleos vegetais, S.A.",,,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,unknown,4040,ALIMENTACION
,1 LT,,08480000040404,,,,," ACEITE GIRASOL TAPON AMARILLO, HACENDADO, BOTELLA 1 l",Aceite Refinado de Girasol Hacendado 1 l,"30 Quai Aulagnier, 92665 Asnières-sur-Seine, Cedex,  Francia.",,,Aceite refinado de girasol. Acidez 0.2 máxima.,Hacendado,,,,Lesieur SA,,,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,unknown,4040,ALIMENTACION
[],1 LT,,08480000046406,,,,," ACEITE OLIVA SABOR INTENSO TAPON VERDE, HACENDADO, BOTELLA 1 l",HACENDADO ACEITE OLIVA INTENSO 1L,"Avda. Josep Trepat, s/n 25300 TARREGA (LLEIDA)",,"CONSERVAR EN UN LUGAR FRESCO, SECO Y PROTEGIDO DE LA LUZ",['ACEITE DE OLIVA VIRGEN Y ACEITE DE OLIVA REFINADO'],HACENDADO,"El aceite a bajas temperaturas puede presentar enturbamientos, que en nada afectan a sus características. Aceite que contiene exclusivamente aceites de oliva que se hayan sometido a un tratamiento de refinado y de aceites obtenidos directamente de aceitunas",,ACEITE DE OLIVA,"BAIEO, SAU",,España,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,unknown,4640,ALIMENTACION
